,Ids,Surface_dice_1,Surface_dice_2,Surface_dice_3
0,Patient_135915,0.5679279526627545,0.7721470797738818,0.8977407824287577
0,1185_18_4,0.4962729794402127,0.638273506794959,0.7382970761636688
0,Patient_107017,0.4838036915392822,0.6665971465155313,0.8177407686271323
0,Patient_61715,0.5455810226408664,0.7450846786942583,0.8738464008146646
0,Patient_73717,0.306421872051635,0.4552199490311708,0.6051710519395753
0,351_18,0.654742846299048,0.8478555315048848,0.9376398532647309
0,1501_18_4,0.6425257756541076,0.7752608364254066,0.8481129028069327
0,Patient_46311,0.5644682173890516,0.7808440106987715,0.91745669168102
0,1255_18,0.5562548638868541,0.7546299821271524,0.8624942006692671
0,668_18_4,0.6015540467679558,0.7821032378043318,0.9208923660327577
0,Patient_99715,0.4359807084754342,0.6387792518880777,0.7875723660172117
0,990_18_4,0.4998173242731194,0.6953330648793117,0.8409085700599699
0,Patient_96316,0.6647108543080114,0.8406007405801831,0.9205491998317715
0,Patient_2317,0.3803285045501647,0.5608040117119831,0.7158999286052132
0,1546_18,0.8094228292743927,0.9628905144702036,0.9956092190722523
0,Patient_24616,0.5987712263066207,0.7717467486271626,0.8646669402914569
0,Patient_70716,0.3224152473687296,0.5243651673410898,0.7395132886361965
0,662_17,0.4548148466610344,0.6730719666548106,0.8427246063365407
0,322_18_4,0.6974024070474848,0.827548407897502,0.8828957213080799
0,1764_18_4,0.4814124778560095,0.6259282409425853,0.7355973618325233
0,Patient_35416,0.41764553443001806,0.6159372693233031,0.7846987936634907
0,1331_19_4,0.35345550639916734,0.5699114839249417,0.7615000108114995
0,Patient_71815,0.5933521841274417,0.8130136100733609,0.9337861290622368
0,Patient_90616,0.5482908198955216,0.7158175346486895,0.8525928403786195
0,788_18,0.8001367771190052,0.948479161897094,0.9920829943839856
0,64_19,0.47122879444478577,0.6632782781192245,0.7893949168391957
0,661_19,0.3759757888731889,0.5333769366353862,0.672391193386449
0,Patient_17516,0.3528630819998909,0.5125514333233588,0.6551090252456198
0,1357_19_4,0.6076830738586511,0.7622950979979576,0.8583188719110296
0,349_18_4,0.6146938784432356,0.807975674021422,0.9332517743214735
0,Patient_51815,0.3052554058865386,0.43875741810937313,0.5617729766142783
0,Patient_83314,0.12609794679277717,0.2110684840878552,0.32594227381020136
0,979_18_4,0.43040519430873914,0.5898158840981932,0.7188710076437277
0,Patient_123816,0.6231401586318471,0.8073761755173441,0.8905916303877427
0,856_19_4,0.5756739754168421,0.7254157882718482,0.8281708928255265
0,Patient_61017,0.20317089718118325,0.3465155173370044,0.47123670360047626
0,Patient_41117,0.20592747760110486,0.3442472370699142,0.5039757098327554
0,Patient_64117,0.5431719816325375,0.7460400406673524,0.8924646731858474
0,Patient_74417,0.7086211276490251,0.8748147006807909,0.9602033467472648
0,Patient_15817,0.5040507753687655,0.6898661737673214,0.8345699815204044
0,Patient_24517,0.6865097838057043,0.87787235151765,0.973625566675515
0,450_19,0.5664556718916005,0.7075987918291163,0.7962129442018197
0,1274_18,0.6261379198247087,0.8095754249521045,0.9292347636163317
0,Patient_92514,0.37285875802165064,0.5478112409637288,0.7153865835425004
0,907_18,0.45721890776407126,0.612530853095939,0.7530859930051881
0,25_19,0.7360646806295701,0.8985223504851143,0.9682178610791197
0,1788_18_4,0.3556200211408259,0.531330356120755,0.6809957246585081
0,Patient_140316,0.299942877423785,0.4947586082357448,0.7086987107627526
0,102_19_4,0.439395918172282,0.5704077237041036,0.6821320589152772
0,Patient_120115,0.5338626263429721,0.6929804123229546,0.7963327576090191
0,Patient_27015,0.3828454880179548,0.5711303473388133,0.7285067769111079
0,1254_18,0.5511555105710244,0.7543992304508799,0.8915812523757773
0,140_19_4,0.7484452339572261,0.8843481318015063,0.9517340088003047
0,337_19_4,0.19362587620640848,0.32248950346665634,0.48062406191061974
0,Patient_127016,0.28804817207843053,0.42860783720642703,0.5709947052361605
0,Patient_131416,0.45908768660293026,0.6417301709557162,0.7854420666368911
0,Patient_41817,0.4370953672502795,0.6227631124135755,0.7712293949459128
0,633_19_4,0.7132527555755973,0.8619732624238333,0.933682912633683
0,104_19_4,0.609192352708899,0.7625093564098654,0.8648513245238515
0,Patient_1000815,0.564164856673848,0.7701936554971721,0.8908339197878512
0,Patient_24717,0.12868306888663042,0.19369870112470863,0.2512490816357022
0,Patient_716,0.5888224774035762,0.7807289750757472,0.9110772721532326
0,Patient_55314,0.5326637130873934,0.7006292607197465,0.8432779576138125
0,Patient_130514,0.5686685554321482,0.7479044319884802,0.8687109613390569
0,Patient_83714,0.5564618638746065,0.7839439996177868,0.9194864060185058
0,Patient_83217,0.6681845571614917,0.8280226389502232,0.9305596053188251
0,Patient_60714,0.35522859695825476,0.5328349881871032,0.6974529222677348
0,374_19_4,0.377255866281112,0.5340642700087599,0.6540083417394545
0,1744_18,0.5277429389688884,0.7182247945300643,0.863508798540277
0,Patient_17416,0.6597985343614187,0.8494770871477145,0.9497142615385922
0,Patient_132216,0.3586149822185583,0.5024180763103322,0.6517655259117758
0,1686_18,0.47065325336808944,0.6792099029390953,0.8264386951404658
0,855_19_4,0.5458608667517219,0.6703483755546599,0.7399397841985224
0,Patient_39717,0.42725724315592906,0.5999729451859178,0.7644614634109018
0,Patient_38614,0.3701186312968078,0.512118698708432,0.6561406383898278
0,497_19_4,0.7185635771030098,0.8662083772471241,0.941244581169979
0,1019_18,0.3043119806080506,0.4379175194389061,0.5758961533502461
0,Patient_33217,0.6091425666287544,0.8211679087812389,0.9405968540882442
0,Patient_112916,0.4780323627704735,0.6831285088430811,0.8501818293218762
0,Patient_84917,0.49902705348952575,0.6743796466649769,0.7942303156940147
0,1072_19,0.6785406261939282,0.8057875383460356,0.8868356564343365
0,105_19,0.2823577662106364,0.4475951664732418,0.6100523109296453
0,Patient_82916,0.45063981591536867,0.6385227942158773,0.7955887269114681
0,1345_19_4,0.13219373271265453,0.20192656291315125,0.2879047491887935
0,1220_19_4,0.7266880772327209,0.8570836118940727,0.9142759482453463
0,285_18_4,0.552988820787532,0.6873416318582745,0.7758137645330516
0,1776_18_4,0.6423140732911867,0.8113055006330739,0.9106465495995285
0,Patient_43515,0.5862151031771915,0.7608622361663615,0.9058174590296737
0,1112_19_4,0.29460109866539214,0.3903819924523973,0.4857955992094579
0,75_19,0.5520915373361166,0.7202921303047796,0.8327105918121344
0,745_18_4,0.5085676081384615,0.7005583093079385,0.8261689321320378
0,1781_18,0.713877867594623,0.8819100678033678,0.9582002735989367
0,22_19_4,0.4386888990199061,0.6527414131456919,0.7671542040580993
0,Patient_90517,0.49116250819535046,0.6498762859876679,0.7767447125499639
0,Patient_109414,0.6031802581525586,0.7984718030486864,0.9118513213161861
0,Patient_713,0.6072511867474882,0.7710565172336081,0.8633843414135677
0,1032_19,0.4148668210512622,0.5381886657155037,0.6373080393400221
0,Patient_5117,0.41245477302185546,0.5777600786638033,0.7002799453804323
