,Ids,Dice_1,Dice_2,Hausdorff95_1,Hausdorff95_2,Sensitivity_1,Sensitivity_2,Specificity_1,Specificity_2,Surface_dice_1,Surface_dice_2,Precision_1,Precision_2
0,Patient_123816,0.8693856067372719,0.9990762866112657,29.274562336608895,0.0,0.9307571462723268,0.9986106222288267,0.9986106222288267,0.9307571462723268,0.6008991727671593,0.9821562224135717,0.8156067634295975,0.999542385486341
0,856_19_4,0.8223099020524003,0.9994230881817693,10.488088481701515,0.0,0.7288483956070925,0.9998393552084549,0.9998393552084549,0.7288483956070925,0.6003970043761409,0.9905204947584008,0.9432666349055105,0.9990071676229937
0,Patient_61017,0.675645883568722,0.9989419000176425,9.1104335791443,0.0,0.5252671326424038,0.9998757122503518,0.9998757122503518,0.5252671326424038,0.2695648221012764,0.9832003150291607,0.9466673101983687,0.9980098303848278
0,Patient_41117,0.5375575764733672,0.9973535568317841,19.72308292331602,0.0,0.976437356979405,0.994794737816673,0.994794737816673,0.976437356979405,0.10012603169281878,0.9695682917637501,0.3708647943940464,0.9999255734234553
0,Patient_64117,0.857339813187192,0.9993011971831105,4.123105625617661,0.0,0.7702359571437418,0.9998550603695522,0.9998550603695522,0.7702359571437418,0.5073837543356657,0.9856298791153344,0.9666563034354112,0.9987479472747436
0,Patient_74417,0.8714041960058638,0.9996996248369787,3.0,0.0,0.9037435820746722,0.9996160728087609,0.9996160728087609,0.9037435820746722,0.7169304443041541,0.9947932386038999,0.8412993039443155,0.9997831908336093
0,Patient_15817,0.7997013400400833,0.9985625056229241,6.0,0.0,0.7702031671057014,0.9988370500113632,0.9988370500113632,0.7702031671057014,0.4198260995125714,0.9743659629535383,0.8315490103136595,0.998288112117773
0,Patient_24517,0.9049831010772023,0.9993564455859351,3.3166247903554,0.0,0.9161638294286196,0.9992738482771374,0.9992738482771374,0.9161638294286196,0.6766563408552282,0.9884769884245224,0.8940719784196328,0.9994390565504075
0,450_19,0.8268365864244513,0.9984444276305682,15.524174696260024,0.0,0.789193083573487,0.9988724346276648,0.9988724346276648,0.789193083573487,0.5705403534909246,0.9765974367700672,0.8682510535424125,0.9980167872699341
0,1274_18,0.8567123738620681,0.9993633915787569,4.0,0.0,0.947436220560643,0.9989384063117143,0.9989384063117143,0.947436220560643,0.6328775236000032,0.988362842523604,0.7818450730264375,0.9997887386085427
